,Preprocessing flow,Accuracy,Precision,Recall,F1,ROC_AUC
0,processing_flow_0,0.91307270079534,0.9070543374642517,0.9079198473282443,0.9074868860276587,0.912777241509951
1,processing_flow_1,0.9131847205108099,0.9070764832022874,0.9081583969465649,0.9076171176540708,0.9128965163191113
2,processing_flow_10,0.9108323064859415,0.9119359534206696,0.8967080152671756,0.9042578782776042,0.9100224342439363
3,processing_flow_11,0.9108323064859415,0.9093539054966249,0.8998091603053435,0.9045563549160671,0.9102002506912146
4,processing_flow_12,0.9071356558754341,0.9078341013824884,0.8928912213740458,0.9003006614552014,0.9063188947419332
5,processing_flow_13,0.9172174302677272,0.9187484841135096,0.9036259541984732,0.9111244738424534,0.9164381090950129
6,processing_flow_14,0.9118404839251708,0.9119283813210742,0.8990935114503816,0.9054654654654655,0.9111095857146312
7,processing_flow_15,0.9090399910384228,0.9014251781472684,0.9052958015267175,0.9033563437276839,0.9088253030864845
8,processing_flow_16,0.915985213397558,0.9115255858440937,0.9093511450381679,0.9104370671124911,0.9156048227830755
9,processing_flow_17,0.9131847205108099,0.9115875692604192,0.9026717557251909,0.9071077550041952,0.9125819179893113
10,processing_flow_2,0.9209140808782346,0.916189111747851,0.9153148854961832,0.9157517899761338,0.9205930288093377
11,processing_flow_3,0.9139688585190994,0.9066508313539192,0.910543893129771,0.9085931920971199,0.91377247454799
12,processing_flow_4,0.9118404839251708,0.9133284777858703,0.8974236641221374,0.9053062206713993,0.911013838396866
13,processing_flow_5,0.9085919121765431,0.9024797329518359,0.9029103053435115,0.902694967803482,0.9082661347203301
14,processing_flow_6,0.9081438333146634,0.9016198189614102,0.9029103053435115,0.902264600715137,0.9078437482366977
15,processing_flow_7,0.9131847205108099,0.908634298014829,0.90625,0.9074405828257494,0.9127870908130941
16,processing_flow_9,0.9099361487621821,0.9035254883277751,0.9048187022900763,0.9041716328963051,0.9096427196772452
