,Preprocessing flow,Accuracy,Precision,Recall,F1,ROC_AUC
0,processing_flow_0,0.8534782121653411,0.8558736426456071,0.8272900763358778,0.841339155749636,0.8519766115575904
1,processing_flow_1,0.8514618572868825,0.8520884520884521,0.8272900763358778,0.8395061728395061,0.850075872381244
2,processing_flow_10,0.8615436316791756,0.8656605640771895,0.8346851145038168,0.8498906971095457,0.8600035920987933
3,processing_flow_11,0.8857398902206789,0.8873961895456766,0.8666507633587787,0.8769007965242578,0.884645339440741
4,processing_flow_12,0.8563907247675591,0.8512795750845003,0.8411259541984732,0.8461723062155029,0.855515458619828
5,processing_flow_13,0.8678167357454912,0.8691176470588236,0.8458969465648855,0.857350096711799,0.8665598777175008
6,processing_flow_14,0.8864120085134983,0.8864299610894941,0.8695133587786259,0.8778901734104047,0.8854430574252158
7,processing_flow_15,0.8479892461073149,0.8519990067047429,0.8184637404580153,0.8348947560530477,0.8462962841677616
8,processing_flow_16,0.8582950599305478,0.8621628309824301,0.8311068702290076,0.8463500546580833,0.8567361172686748
9,processing_flow_17,0.8734177215189873,0.871421639980592,0.8568702290076335,0.8640846764493626,0.8724689054225073
10,processing_flow_2,0.8640080654195138,0.8633479746217667,0.8439885496183206,0.8535585042219542,0.862860167100607
11,processing_flow_3,0.8717374257869385,0.8768241404897353,0.8456583969465649,0.8609593199757134,0.8702420812610332
12,processing_flow_4,0.8607594936708861,0.8541916886860437,0.8482824427480916,0.8512268102932375,0.8600440724828105
13,processing_flow_5,0.857959000784138,0.8553719008264463,0.839456106870229,0.8473392728148327,0.8568980639947765
14,processing_flow_6,0.8582950599305478,0.8580866160998287,0.8365935114503816,0.8472037685710835,0.8570507155984748
15,processing_flow_7,0.8530301333034614,0.8587443946188341,0.822280534351145,0.8401169875700708,0.8512669831206623
16,processing_flow_9,0.8580710204996079,0.8590719371470661,0.8346851145038168,0.84670296430732,0.8567300968506412
