pipeline_name, pipeline_scores
pipeline_gender_df_preprocessed_9_CountVectorizer_LogisticRegression,"['Score: 0.9807326089391732', 'precision: 0.9813218390804598', 'Recall: 0.9775763358778626', 'ROC AUC: 0.9981233928758555']"
pipeline_gender_df_preprocessed_10_CountVectorizer_LogisticRegression,"['Score: 0.9956312310966731', 'precision: 0.9964140568969639', 'Recall: 0.9942748091603053', 'ROC AUC: 0.9997597374593936']"
pipeline_gender_df_preprocessed_11_CountVectorizer_LogisticRegression,"['Score: 1.0', 'precision: 1.0', 'Recall: 1.0', 'ROC AUC: 1.0']"
pipeline_gender_df_preprocessed_6_TfidfVectorizer_RandomForestClassifier,"['Score: 0.789851013778425', 'precision: 0.7769010043041606', 'Recall: 0.7750477099236641', 'ROC AUC: 0.8708989869576083']"
pipeline_gender_df_preprocessed_12_CountVectorizer_LogisticRegression,"['Score: 0.9843172398342108', 'precision: 0.9833015267175572', 'Recall: 0.9833015267175572', 'ROC AUC: 0.998573286876194']"
pipeline_gender_df_preprocessed_13_CountVectorizer_LogisticRegression,"['Score: 0.992830738209925', 'precision: 0.9921316165951359', 'Recall: 0.992604961832061', 'ROC AUC: 0.9994978618699468']"
pipeline_gender_df_preprocessed_14_CountVectorizer_LogisticRegression,"['Score: 1.0', 'precision: 1.0', 'Recall: 1.0', 'ROC AUC: 1.0']"
pipeline_gender_df_preprocessed_15_CountVectorizer_LogisticRegression,"['Score: 0.9975355662596617', 'precision: 0.9964285714285714', 'Recall: 0.9983301526717557', 'ROC AUC: 0.9999283091643357']"
pipeline_gender_df_preprocessed_16_CountVectorizer_LogisticRegression,"['Score: 0.9940629550800941', 'precision: 0.9947406167822137', 'Recall: 0.992604961832061', 'ROC AUC: 0.9997910234811417']"
pipeline_gender_df_preprocessed_17_CountVectorizer_LogisticRegression,"['Score: 1.0', 'precision: 1.0', 'Recall: 1.0', 'ROC AUC: 1.0']"
pipeline_gender_df_preprocessed_7_TfidfVectorizer_RandomForestClassifier,"['Score: 0.788394757477316', 'precision: 0.7691049310586585', 'Recall: 0.7850667938931297', 'ROC AUC: 0.869615504364929']"
pipeline_gender_df_preprocessed_9_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7918673686568836', 'precision: 0.7778571428571428', 'Recall: 0.7793416030534351', 'ROC AUC: 0.873284306810579']"
pipeline_gender_df_preprocessed_10_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7868264814607371', 'precision: 0.7726947819871337', 'Recall: 0.7736164122137404', 'ROC AUC: 0.8685676997267385']"
pipeline_gender_df_preprocessed_11_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7863784025988574', 'precision: 0.7666277712952159', 'Recall: 0.7836354961832062', 'ROC AUC: 0.8702347005811844']"
pipeline_gender_df_preprocessed_12_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7923154475187633', 'precision: 0.7788645038167938', 'Recall: 0.7788645038167938', 'ROC AUC: 0.8728645904705095']"
pipeline_gender_df_preprocessed_13_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7827937717038199', 'precision: 0.7635087719298246', 'Recall: 0.7786259541984732', 'ROC AUC: 0.8657900199102027']"
pipeline_gender_df_preprocessed_14_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7901870729248348', 'precision: 0.7744378698224852', 'Recall: 0.7805343511450382', 'ROC AUC: 0.8713336661776442']"
pipeline_gender_df_preprocessed_15_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7774168253612636', 'precision: 0.755741127348643', 'Recall: 0.7771946564885496', 'ROC AUC: 0.8639728864554197']"
pipeline_gender_df_preprocessed_16_TfidfVectorizer_RandomForestClassifier,"['Score: 0.7761846084910944', 'precision: 0.7518365472910927', 'Recall: 0.78125', 'ROC AUC: 0.8641116835406304']"
pipeline_gender_df_preprocessed_17_TfidfVectorizer_RandomForestClassifier,"['Score: 0.785482244875098', 'precision: 0.7647058823529411', 'Recall: 0.7845896946564885', 'ROC AUC: 0.8673431114326479']"
pipeline_gender_df_preprocessed_0_TfidfVectorizer_LogisticRegression,"['Score: 0.9035510249803965', 'precision: 0.9089123496194451', 'Recall: 0.8831106870229007', 'ROC AUC: 0.9647646344019283']"
pipeline_gender_df_preprocessed_1_TfidfVectorizer_LogisticRegression,"['Score: 0.9026548672566371', 'precision: 0.9083312853280905', 'Recall: 0.8816793893129771', 'ROC AUC: 0.964175540275841']"
pipeline_gender_df_preprocessed_2_TfidfVectorizer_LogisticRegression,"['Score: 0.9001904335162989', 'precision: 0.9038414484952287', 'Recall: 0.8812022900763359', 'ROC AUC: 0.9633582244452147']"
pipeline_gender_df_preprocessed_3_TfidfVectorizer_LogisticRegression,"['Score: 0.9118404839251708', 'precision: 0.916972814107274', 'Recall: 0.8931297709923665', 'ROC AUC: 0.9667167612468461']"
pipeline_gender_df_preprocessed_4_TfidfVectorizer_LogisticRegression,"['Score: 0.9003024532317688', 'precision: 0.9038649706457925', 'Recall: 0.8814408396946565', 'ROC AUC: 0.9632493531199368']"
pipeline_gender_df_preprocessed_5_TfidfVectorizer_LogisticRegression,"['Score: 0.901534670101938', 'precision: 0.9073026801081878', 'Recall: 0.8802480916030534', 'ROC AUC: 0.9632988767260212']"
pipeline_gender_df_preprocessed_6_TfidfVectorizer_LogisticRegression,"['Score: 0.9014226503864681', 'precision: 0.90748031496063', 'Recall: 0.8797709923664122', 'ROC AUC: 0.9628684294316324']"
pipeline_gender_df_preprocessed_7_TfidfVectorizer_LogisticRegression,"['Score: 0.9036630446958664', 'precision: 0.9101427868045298', 'Recall: 0.8819179389312977', 'ROC AUC: 0.9646323363453896']"
pipeline_gender_df_preprocessed_9_TfidfVectorizer_LogisticRegression,"['Score: 0.9001904335162989', 'precision: 0.9034465900757761', 'Recall: 0.8816793893129771', 'ROC AUC: 0.962679403419396']"
pipeline_gender_df_preprocessed_10_TfidfVectorizer_LogisticRegression,"['Score: 0.9001904335162989', 'precision: 0.9054286416113977', 'Recall: 0.879293893129771', 'ROC AUC: 0.9616573933756258']"
pipeline_gender_df_preprocessed_11_TfidfVectorizer_LogisticRegression,"['Score: 0.907359695306374', 'precision: 0.9104659673090998', 'Recall: 0.8902671755725191', 'ROC AUC: 0.9642380619392698']"
pipeline_gender_df_preprocessed_12_TfidfVectorizer_LogisticRegression,"['Score: 0.9010865912400583', 'precision: 0.9070110701107011', 'Recall: 0.8795324427480916', 'ROC AUC: 0.962718649491766']"
pipeline_gender_df_preprocessed_13_TfidfVectorizer_LogisticRegression,"['Score: 0.901534670101938', 'precision: 0.9061044373620986', 'Recall: 0.8816793893129771', 'ROC AUC: 0.963097255696978']"
pipeline_gender_df_preprocessed_14_TfidfVectorizer_LogisticRegression,"['Score: 0.9081438333146634', 'precision: 0.9126284875183553', 'Recall: 0.8895515267175572', 'ROC AUC: 0.9645834676801792']"
pipeline_gender_df_preprocessed_15_TfidfVectorizer_LogisticRegression,"['Score: 0.9029909264030469', 'precision: 0.9083988212180747', 'Recall: 0.882395038167939', 'ROC AUC: 0.9630696978002049']"
pipeline_gender_df_preprocessed_16_TfidfVectorizer_LogisticRegression,"['Score: 0.8999663940853591', 'precision: 0.9049840412472379', 'Recall: 0.879293893129771', 'ROC AUC: 0.9615379422362302']"
pipeline_gender_df_preprocessed_17_TfidfVectorizer_LogisticRegression,"['Score: 0.9109443262014114', 'precision: 0.9155860044042085', 'Recall: 0.8926526717557252', 'ROC AUC: 0.9663906510716849']"
pipeline_gender_df_preprocessed_0_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.83', 'precision: 0.7777777777777778', 'Recall: 0.7736842105263158', 'ROC AUC: 0.9048556876061121']"
pipeline_gender_df_preprocessed_1_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.812', 'precision: 0.7448979591836735', 'Recall: 0.7684210526315789', 'ROC AUC: 0.9002971137521222']"
pipeline_gender_df_preprocessed_2_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.78', 'precision: 0.7197802197802198', 'Recall: 0.6894736842105263', 'ROC AUC: 0.8522156196943973']"
pipeline_gender_df_preprocessed_3_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.81', 'precision: 0.7653631284916201', 'Recall: 0.7210526315789474', 'ROC AUC: 0.8827758913412564']"
pipeline_gender_df_preprocessed_4_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.822', 'precision: 0.7671957671957672', 'Recall: 0.7631578947368421', 'ROC AUC: 0.9060526315789473']"
pipeline_gender_df_preprocessed_5_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.828', 'precision: 0.8095238095238095', 'Recall: 0.7157894736842105', 'ROC AUC: 0.9079371816638371']"
pipeline_gender_df_preprocessed_6_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.82', 'precision: 0.7808988764044944', 'Recall: 0.7315789473684211', 'ROC AUC: 0.9068930390492359']"
pipeline_gender_df_preprocessed_7_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.824', 'precision: 0.765625', 'Recall: 0.7736842105263158', 'ROC AUC: 0.9043803056027164']"
pipeline_gender_df_preprocessed_9_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.816', 'precision: 0.7525773195876289', 'Recall: 0.7684210526315789', 'ROC AUC: 0.904804753820034']"
pipeline_gender_df_preprocessed_10_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.776', 'precision: 0.7191011235955056', 'Recall: 0.6736842105263158', 'ROC AUC: 0.8509083191850593']"
pipeline_gender_df_preprocessed_11_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.718', 'precision: 0.6762589928057554', 'Recall: 0.49473684210526314', 'ROC AUC: 0.800288624787776']"
pipeline_gender_df_preprocessed_12_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.826', 'precision: 0.7845303867403315', 'Recall: 0.7473684210526316', 'ROC AUC: 0.9031578947368422']"
pipeline_gender_df_preprocessed_13_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.768', 'precision: 0.7102272727272727', 'Recall: 0.6578947368421053', 'ROC AUC: 0.8528777589134126']"
pipeline_gender_df_preprocessed_14_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.762', 'precision: 0.7591240875912408', 'Recall: 0.5473684210526316', 'ROC AUC: 0.8110271646859083']"
pipeline_gender_df_preprocessed_15_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.814', 'precision: 0.7593582887700535', 'Recall: 0.7473684210526316', 'ROC AUC: 0.895195246179966']"
pipeline_gender_df_preprocessed_16_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.788', 'precision: 0.7307692307692307', 'Recall: 0.7', 'ROC AUC: 0.8467996604414262']"
pipeline_gender_df_preprocessed_17_Word2VecVectorizer_RandomForestClassifier,"['Score: 0.8', 'precision: 0.7586206896551724', 'Recall: 0.6947368421052632', 'ROC AUC: 0.8751443123938879']"
pipeline_gender_df_preprocessed_0_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7970118845500849']"
pipeline_gender_df_preprocessed_1_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7961629881154499']"
pipeline_gender_df_preprocessed_2_Word2VecVectorizer_LogisticRegression,"['Score: 0.624', 'precision: 1.0', 'Recall: 0.010526315789473684', 'ROC AUC: 0.6925127334465195']"
pipeline_gender_df_preprocessed_3_Word2VecVectorizer_LogisticRegression,"['Score: 0.632', 'precision: 0.875', 'Recall: 0.03684210526315789', 'ROC AUC: 0.8030050933786078']"
pipeline_gender_df_preprocessed_4_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7961460101867571']"
pipeline_gender_df_preprocessed_5_Word2VecVectorizer_LogisticRegression,"['Score: 0.626', 'precision: 1.0', 'Recall: 0.015789473684210527', 'ROC AUC: 0.7773174872665535']"
pipeline_gender_df_preprocessed_6_Word2VecVectorizer_LogisticRegression,"['Score: 0.634', 'precision: 1.0', 'Recall: 0.03684210526315789', 'ROC AUC: 0.7731409168081493']"
pipeline_gender_df_preprocessed_7_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7975382003395586']"
pipeline_gender_df_preprocessed_9_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7953480475382003']"
pipeline_gender_df_preprocessed_10_Word2VecVectorizer_LogisticRegression,"['Score: 0.642', 'precision: 1.0', 'Recall: 0.05789473684210526', 'ROC AUC: 0.6679286926994907']"
pipeline_gender_df_preprocessed_11_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.6530390492359932']"
pipeline_gender_df_preprocessed_12_Word2VecVectorizer_LogisticRegression,"['Score: 0.626', 'precision: 1.0', 'Recall: 0.015789473684210527', 'ROC AUC: 0.7761120543293718']"
pipeline_gender_df_preprocessed_13_Word2VecVectorizer_LogisticRegression,"['Score: 0.628', 'precision: 0.8333333333333334', 'Recall: 0.02631578947368421', 'ROC AUC: 0.6795415959252972']"
pipeline_gender_df_preprocessed_14_Word2VecVectorizer_LogisticRegression,"['Score: 0.628', 'precision: 1.0', 'Recall: 0.021052631578947368', 'ROC AUC: 0.6847877758913412']"
pipeline_gender_df_preprocessed_15_Word2VecVectorizer_LogisticRegression,"['Score: 0.62', 'precision: 0.0', 'Recall: 0.0', 'ROC AUC: 0.7890831918505943']"
pipeline_gender_df_preprocessed_16_Word2VecVectorizer_LogisticRegression,"['Score: 0.624', 'precision: 1.0', 'Recall: 0.010526315789473684', 'ROC AUC: 0.682937181663837']"
pipeline_gender_df_preprocessed_17_Word2VecVectorizer_LogisticRegression,"['Score: 0.642', 'precision: 0.8666666666666667', 'Recall: 0.06842105263157895', 'ROC AUC: 0.7975212224108659']"
pipeline_gender_df_preprocessed_0_TfidfVectorizer_SVC,"['Score: 0.91', 'precision: 0.91', 'Recall: 0.91', 'ROC AUC: 0.9836265073570085']"
pipeline_gender_df_preprocessed_1_TfidfVectorizer_SVC,"['Score: 0.96', 'precision: 0.96', 'Recall: 0.96', 'ROC AUC: 0.9933333333333333']"
pipeline_gender_df_preprocessed_2_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9914536340852131']"
pipeline_gender_df_preprocessed_3_TfidfVectorizer_SVC,"['Score: 0.9775', 'precision: 0.9775', 'Recall: 0.9775', 'ROC AUC: 0.9958145363408522']"
pipeline_gender_df_preprocessed_4_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9927067669172933']"
pipeline_gender_df_preprocessed_5_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9936340852130326']"
pipeline_gender_df_preprocessed_6_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9934586466165414']"
pipeline_gender_df_preprocessed_7_TfidfVectorizer_SVC,"['Score: 0.96', 'precision: 0.96', 'Recall: 0.96', 'ROC AUC: 0.9931829573934837']"
pipeline_gender_df_preprocessed_9_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9927318295739349']"
pipeline_gender_df_preprocessed_10_TfidfVectorizer_SVC,"['Score: 0.97', 'precision: 0.97', 'Recall: 0.97', 'ROC AUC: 0.9927318295739348']"
pipeline_gender_df_preprocessed_11_TfidfVectorizer_SVC,"['Score: 0.97', 'precision: 0.97', 'Recall: 0.97', 'ROC AUC: 0.9958646616541353']"
pipeline_gender_df_preprocessed_12_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9936591478696742']"
pipeline_gender_df_preprocessed_13_TfidfVectorizer_SVC,"['Score: 0.9675', 'precision: 0.9675', 'Recall: 0.9675', 'ROC AUC: 0.9935338345864662']"
pipeline_gender_df_preprocessed_14_TfidfVectorizer_SVC,"['Score: 0.9725', 'precision: 0.9725', 'Recall: 0.9725', 'ROC AUC: 0.9964661654135338']"
pipeline_gender_df_preprocessed_15_TfidfVectorizer_SVC,"['Score: 0.9625', 'precision: 0.9625', 'Recall: 0.9625', 'ROC AUC: 0.994235588972431']"
pipeline_gender_df_preprocessed_16_TfidfVectorizer_SVC,"['Score: 0.965', 'precision: 0.965', 'Recall: 0.965', 'ROC AUC: 0.9942606516290726']"
pipeline_gender_df_preprocessed_17_TfidfVectorizer_SVC,"['Score: 0.9775', 'precision: 0.9775', 'Recall: 0.9775', 'ROC AUC: 0.9957393483709273']"
pipeline_gender_df_preprocessed_0_CountVectorizer_SVC,"['Score: 0.92', 'precision: 0.92', 'Recall: 0.92', 'ROC AUC: 0.9717293233082707']"
pipeline_gender_df_preprocessed_1_CountVectorizer_SVC,"['Score: 0.92', 'precision: 0.92', 'Recall: 0.92', 'ROC AUC: 0.9717543859649123']"
pipeline_gender_df_preprocessed_2_CountVectorizer_SVC,"['Score: 0.9225', 'precision: 0.9225', 'Recall: 0.9225', 'ROC AUC: 0.975187969924812']"
